dataset,v_function,mean_accuracy,percentage_of_time_with_accuracy_over_50
activity,count_labels,0.8571428571428571,1.0
activity,progressive_count_labels,0.7142857142857143,1.0
activity,constant_value,0.7142857142857143,1.0
activity,class_value,0.7142857142857143,1.0
activity,index_tuple,0.7142857142857143,1.0
activity,frequency_ratio,0.7142857142857143,1.0
activity,unique_label_count,0.7142857142857143,1.0
activity,equals_next,0.7142857142857143,1.0
activity,equals_previous,0.7142857142857143,1.0
activity,tf_idf,0.7142857142857143,1.0
question,count_labels,0.5346820809248555,1.0
question,progressive_count_labels,0.5346820809248555,1.0
question,constant_value,0.5346820809248555,1.0
question,class_value,0.5346820809248555,1.0
question,index_tuple,0.5346820809248555,1.0
question,frequency_ratio,0.5346820809248555,1.0
question,unique_label_count,0.5549132947976878,1.0
question,equals_next,0.5346820809248555,1.0
question,equals_previous,0.5346820809248555,1.0
question,tf_idf,0.5317919075144509,1.0
epitope,count_labels,0.5899581589958159,1.0
epitope,progressive_count_labels,0.5711297071129707,1.0
epitope,constant_value,0.5711297071129707,1.0
epitope,class_value,0.5711297071129707,1.0
epitope,index_tuple,0.5711297071129707,1.0
epitope,frequency_ratio,0.5836820083682008,1.0
epitope,unique_label_count,0.5941422594142259,1.0
epitope,equals_next,0.5606694560669456,1.0
epitope,equals_previous,0.5711297071129707,1.0
epitope,tf_idf,0.5836820083682008,1.0
gene,count_labels,0.5255102040816325,1.0
gene,progressive_count_labels,0.5085034013605442,1.0
gene,constant_value,0.5085034013605442,1.0
gene,class_value,0.5085034013605442,1.0
gene,index_tuple,0.5085034013605442,1.0
gene,frequency_ratio,0.5527210884353743,1.0
gene,unique_label_count,0.5085034013605442,1.0
gene,equals_next,0.5102040816326532,1.0
gene,equals_previous,0.5085034013605442,1.0
gene,tf_idf,0.5306122448979592,1.0
robot,count_labels,0.5406976744186045,1.0
robot,progressive_count_labels,0.508139534883721,1.0
robot,constant_value,0.508139534883721,1.0
robot,class_value,0.508139534883721,1.0
robot,index_tuple,0.508139534883721,1.0
robot,frequency_ratio,0.5406976744186045,1.0
robot,unique_label_count,0.527906976744186,1.0
robot,equals_next,0.5151162790697674,1.0
robot,equals_previous,0.508139534883721,1.0
robot,tf_idf,0.5290697674418606,1.0
