dataset,v_function,mean_accuracy,percentage_of_time_with_accuracy_over_50
activity,count_labels,0.7142857142857143,1.0
activity,progressive_count_labels,0.5714285714285714,1.0
activity,constant_value,0.5714285714285714,1.0
activity,class_value,0.5714285714285714,1.0
activity,index_tuple,0.5714285714285714,1.0
activity,frequency_ratio,0.7142857142857143,1.0
activity,unique_label_count,0.42857142857142855,0.0
activity,equals_next,0.5714285714285714,1.0
activity,equals_previous,0.5714285714285714,1.0
activity,tf_idf,0.8571428571428571,1.0
question,count_labels,0.5086705202312138,1.0
question,progressive_count_labels,0.5086705202312138,1.0
question,constant_value,0.5086705202312138,1.0
question,class_value,0.5086705202312138,1.0
question,index_tuple,0.5086705202312138,1.0
question,frequency_ratio,0.5086705202312138,1.0
question,unique_label_count,0.5202312138728323,1.0
question,equals_next,0.5086705202312138,1.0
question,equals_previous,0.5086705202312138,1.0
question,tf_idf,0.5086705202312138,1.0
epitope,count_labels,0.5711297071129707,1.0
epitope,progressive_count_labels,0.5564853556485356,1.0
epitope,constant_value,0.5564853556485356,1.0
epitope,class_value,0.5564853556485356,1.0
epitope,index_tuple,0.5564853556485356,1.0
epitope,frequency_ratio,0.5711297071129707,1.0
epitope,unique_label_count,0.5815899581589958,1.0
epitope,equals_next,0.5481171548117156,1.0
epitope,equals_previous,0.5564853556485356,1.0
epitope,tf_idf,0.5857740585774058,1.0
gene,count_labels,0.5306122448979592,1.0
gene,progressive_count_labels,0.4965986394557823,0.0
gene,constant_value,0.4965986394557823,0.0
gene,class_value,0.4965986394557823,0.0
gene,index_tuple,0.4965986394557823,0.0
gene,frequency_ratio,0.5306122448979592,1.0
gene,unique_label_count,0.4965986394557823,0.0
gene,equals_next,0.4965986394557823,0.0
gene,equals_previous,0.4965986394557823,0.0
gene,tf_idf,0.5340136054421769,1.0
robot,count_labels,0.536046511627907,1.0
robot,progressive_count_labels,0.5209302325581395,1.0
robot,constant_value,0.5209302325581395,1.0
robot,class_value,0.5209302325581395,1.0
robot,index_tuple,0.5209302325581395,1.0
robot,frequency_ratio,0.536046511627907,1.0
robot,unique_label_count,0.5546511627906978,1.0
robot,equals_next,0.5348837209302325,1.0
robot,equals_previous,0.5209302325581395,1.0
robot,tf_idf,0.4965116279069767,0.0
