dataset,v_function,mean_accuracy,percentage_of_time_with_accuracy_over_50
activity,count_labels,0.7624285714285715,0.937
activity,progressive_count_labels,0.8052857142857143,0.984
activity,constant_value,0.8052857142857143,0.984
activity,class_value,0.7091428571428571,0.857
activity,index_tuple,0.6674285714285714,0.857
activity,frequency_ratio,0.5358571428571429,0.5
activity,unique_label_count,0.7444285714285713,0.875
activity,equals_next,0.8052857142857143,0.984
activity,equals_previous,0.8052857142857143,0.984
activity,tf_idf,0.48657142857142854,0.421
question,count_labels,0.7614335260115608,1.0
question,progressive_count_labels,0.7614335260115608,1.0
question,constant_value,0.7614335260115608,1.0
question,class_value,0.7614335260115608,1.0
question,index_tuple,0.7614335260115608,1.0
question,frequency_ratio,0.7423121387283237,1.0
question,unique_label_count,0.7591213872832369,1.0
question,equals_next,0.7614335260115608,1.0
question,equals_previous,0.7614335260115608,1.0
question,tf_idf,0.7423121387283237,1.0
epitope,count_labels,0.66518410041841,1.0
epitope,progressive_count_labels,0.660794979079498,1.0
epitope,constant_value,0.660794979079498,1.0
epitope,class_value,0.6650899581589959,1.0
epitope,index_tuple,0.660794979079498,1.0
epitope,frequency_ratio,0.6679937238493724,1.0
epitope,unique_label_count,0.6701087866108786,1.0
epitope,equals_next,0.6650899581589959,1.0
epitope,equals_previous,0.660794979079498,1.0
epitope,tf_idf,0.6662489539748954,1.0
gene,count_labels,0.9996768707482994,1.0
gene,progressive_count_labels,0.9997874149659866,1.0
gene,constant_value,0.9997874149659866,1.0
gene,class_value,0.9997874149659866,1.0
gene,index_tuple,0.9997874149659866,1.0
gene,frequency_ratio,0.9996768707482994,1.0
gene,unique_label_count,0.9997874149659866,1.0
gene,equals_next,0.9996768707482994,1.0
gene,equals_previous,0.9997874149659866,1.0
gene,tf_idf,0.9996768707482994,1.0
robot,count_labels,0.7268244186046511,1.0
robot,progressive_count_labels,0.7268244186046511,1.0
robot,constant_value,0.7268244186046511,1.0
robot,class_value,0.7268244186046511,1.0
robot,index_tuple,0.6283337209302325,1.0
robot,frequency_ratio,0.7268244186046511,1.0
robot,unique_label_count,0.7267686046511629,1.0
robot,equals_next,0.7268244186046511,1.0
robot,equals_previous,0.7268244186046511,1.0
robot,tf_idf,0.7268244186046511,1.0
